x,y,token
-16.333466,37.138794,'--
36.18221,13.560882,sands
-3.4893515,3.6680794,magnetic
-16.516872,-2.4975178,attends
13.678218,5.685291,exulting
-29.47822,19.511534,instructions
-37.90333,19.046124,interview
25.50669,-19.087517,breaketh
9.245934,-24.224546,abiding
23.395947,25.158907,mirror
1.9903225,0.037609726,seasons
-59.628677,3.2705874,requires
28.388039,-65.17111,maaseiah
-21.224295,-33.17331,prevail
20.876795,-30.317717,prepare
-8.985587,26.129229,france
31.486084,2.276022,suns
-8.555474,-33.05911,damnation
45.13112,14.241828,rays
52.302193,-13.216673,carved
23.803564,-55.88502,ruler
-22.819853,-16.168795,confessed
36.015667,-35.019104,standard
3.5580928,-6.6436048,tokens
39.936,33.320816,prow
-0.13817768,43.1313,elsa
-13.68786,-20.394176,rebels
-24.47206,-20.792236,although
-6.9657083,14.190983,furniture
7.1767945,3.6941805,defiance
33.197132,-38.29433,winepress
48.658188,5.541627,thin
-5.351083,14.768398,size
-9.194336,25.894114,ho
38.858395,18.213749,barred
44.163925,15.6159525,gilt
-43.8082,-11.472949,employ
-6.4470854,-42.49629,teacheth
-58.856724,18.713009,parties
4.55603,-44.613663,sworn
18.982689,8.105289,rugged
14.070457,29.418629,muttering
34.38739,-45.018738,moab
-21.857492,36.87546,poz
-4.9877186,2.6221888,sovereign
11.023767,9.608374,drawn
12.440341,-32.894634,uncleanness
29.678955,8.547516,sleepers
-36.32923,-30.5563,cock
-52.837498,14.37137,conviction
-5.5205803,34.25415,arithmetic
-28.65806,16.52847,varying
-15.103921,34.989346,overheard
-54.165123,16.436676,admiration
32.549114,-22.92983,sceptre
-48.40918,2.7305622,enjoyed
-37.289406,19.499887,parting
20.464302,-25.688892,morsel
-30.147272,-36.966187,lyes
16.103342,-27.258497,doubled
-4.9938955,14.971872,largest
-42.864365,30.215841,dining
16.17454,-32.105103,divide
9.919342,17.273523,quicker
5.1602216,-58.05905,54
-40.237682,-4.9257836,respects
31.014729,-62.56292,zerah
-42.658485,-6.534009,affect
-25.011942,8.171876,fearful
26.752394,-2.5373397,weapons
20.88602,9.956784,strike
29.919516,7.7531986,threads
29.11884,27.816908,swelled
37.29839,25.175909,hearth
-59.684517,3.1028512,essential
17.639328,-55.072083,cushi
25.294428,14.070628,tremendous
